"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2023-10-23 17:02:42","Torso","Fondos de tríceps","1","80","18","","","kg",
"2023-10-23 17:02:42","Torso","Fondos de tríceps","2","80","12","","","kg",
"2023-10-23 17:02:42","Torso","Fondos de tríceps","3","80","11","","","kg",
"2023-10-23 17:02:42","Torso","Dominadas con agarre inverso","1","80","10","","","kg",
"2023-10-23 17:02:42","Torso","Dominadas con agarre inverso","2","80","10","","","kg",
"2023-10-23 17:02:42","Torso","Dominadas con agarre inverso","3","80","10","","","kg",
"2023-10-23 17:02:42","Torso","Extensión de tríceps con polea sobre la cabeza","1","15","8","","","kg",
"2023-10-23 17:02:42","Torso","Extensión de tríceps con polea sobre la cabeza","2","15","7","","","kg",
"2023-10-23 17:02:42","Torso","Extensión de tríceps con polea sobre la cabeza","3","15","7","","","kg",
"2023-10-23 17:02:42","Torso","Extensión de tríceps con polea sobre la cabeza","4","15","7","","","kg",
"2023-10-23 17:02:42","Torso","Elevaciones laterales con mancuernas","1","10","12","","","kg",
"2023-10-23 17:02:42","Torso","Elevaciones laterales con mancuernas","2","10","9","","","kg",
"2023-10-23 17:02:42","Torso","Elevaciones laterales con mancuernas","3","10","7","","","kg",
"2023-10-23 17:02:42","Torso","Elevaciones laterales con mancuernas","4","10","9","","","kg",
"2023-10-23 17:02:42","Torso","Curl de bícep con mancuerna","1","12","11","","","kg",
"2023-10-23 17:02:42","Torso","Curl de bícep con mancuerna","2","12","8","","","kg",
"2023-10-23 17:02:42","Torso","Curl de bícep con mancuerna","3","12","7","","","kg",
"2023-10-23 17:02:42","Torso","Press de pecho en máquina","1","42.5","10","","","kg",
"2023-10-23 17:02:42","Torso","Press de pecho en máquina","2","42.5","10","","","kg",
"2023-10-23 17:02:42","Torso","Press de pecho en máquina","3","42.5","10","","","kg",
"2023-10-23 17:02:42","Torso","Remo sentado con cable","1","65","11","","","kg",
"2023-10-23 17:02:42","Torso","Remo sentado con cable","2","65","9","","","kg",
"2023-10-23 17:02:42","Torso","Remo sentado con cable","3","65","9","","","kg",
